NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	TOT
bt491	0.60	0.02	62.10	4.51	2.50	0.66	0.01	18.57	0.01	0.02	0	0	62.09	4.45	0	0	0	18.55	0	0	0.60	0	0	0	2.47	0.65	0.01	0.02	0	0	0	0	0.01	0.06	0.03	0	0	0	0.01	0.02	0	0.02	0	0	0	0.01	0	0	0	178.00
rt491	0.81	0.03	43.06	1.22	2.06	0.40	0.09	15.44	0	0	0	0	43.05	1.15	0	0	0	15.13	0	0	0.78	0	0	0	1.84	0.40	0.05	0.31	0	0	0.01	0	0.01	0.07	0.22	0	0	0	0	0	0.02	0.03	0	0	0	0	0.04	0	0	126.22
bg491	4.77	1.56	7.43	3.59	6.94	5.53	1.60	54.09	2.14	1.40	0	0	4.00	0.67	0	0	0	52.20	0.44	0	0.89	0	0	0	5.34	4.18	1.24	1.09	0	0.14	2.81	0	3.36	2.92	1.60	0	0	0	1.70	1.26	1.07	1.56	0.07	0	0	1.35	0.36	0.80	0	178.10
rg491	2.75	0.82	3.76	2.10	4.75	3.11	0.83	33.30	0.94	0.61	0	0	2.13	0.27	0	0	0	31.64	0	0	0.47	0	0	0	3.44	2.50	0.58	1.01	0	0	1.37	0	1.63	1.83	1.31	0	0	0	0.94	0.61	0.91	0.82	0	0	0	0.61	0.25	0.65	0	105.94
rp491	11.52	3.19	13.33	3.96	13.77	12.05	5.77	17.12	3.61	2.70	0	0	7.77	0.45	0	0	0	10.06	0	0	1.32	0	0	0	8.74	8.57	2.63	3.96	0	0	5.58	0	5.56	3.51	5.03	0	0	0	3.61	2.70	4.62	3.19	0	0	0	3.48	3.14	3.10	0	174.04
bt492	0	0	0	0	0	0	0	0	0	0	0	0	56.87	5.67	0	0	0	22.11	0	0	1.56	0	0	0	1.28	0.35	0.60	0.05	0	0	0.29	0	0.02	0.02	0.04	0	0	0	0.05	0.04	0.02	0.01	0.01	0	0	0.01	0.01	0	0	89.01
rt492	0	0	0	0	0	0	0	0	0	0	0	0	39.94	1.06	0	0	0	17.55	0	0	0.37	0	0	0	0.96	0.68	0.12	0.32	0	0	0.10	0	0.02	0.05	0.38	0	0	0	0	0.01	0.03	0.01	0	0	0	0.01	0.03	0	0	61.64
bg492	0	0	0	0	0	0	0	0	0	0	0	0	3.21	0.62	0	0	0	55.77	0.44	0	0.86	0	0	0	3.92	3.08	1.32	1.49	0	0.16	2.12	0	3.67	2.00	1.97	0	0	0	1.71	0.96	1.35	0.72	0	0.06	0	1.93	1.21	0.48	0	89.05
rg492	0	0	0	0	0	0	0	0	0	0	0	0	2.80	0.49	0	0	0	34.51	0.01	0	0.43	0	0	0	4.02	2.92	0.84	1.24	0	0	2.27	0	3.27	1.95	1.78	0	0	0	1.68	1.10	1.06	0.97	0	0	0	1.82	0.94	0.37	0	64.47
cpr492	0	0	0	0	0	0	0	0	0	0	0	0	9.34	0.35	0	0	0	9.75	0	0	1.45	0	0	0	9.03	8.38	2.97	2.99	0	0	5.72	0	5.75	4.66	4.95	0	0	0	3.69	3.49	4.21	2.95	0	0	0	3.57	3.61	3.89	0	90.75
