NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	TOT
bt491	12.93	39.99	0	0	3.87	1.20	0.45	0.07	23.42	7.18	0	2.03	0	0	3.85	1.19	0.45	0.07	0.04	0.01	0	0	0	0	0.02	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.79
rt491	0.01	16.88	0	0.14	0.61	0.03	0.02	0.01	9.64	3.21	0	0.11	0	0	0.60	0.03	0.01	0.01	0.01	0	0	0.03	0	0	0.01	0	0	0	0	0.02	0	0.01	0	0.14	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0.01	0	0	31.56
bg491	16.27	18.36	5.06	2.64	9.34	6.00	8.17	5.70	17.15	8.85	0	0.05	0	0	8.97	5.81	3.16	5.69	3.59	0.07	0	5.64	4.82	2.61	0.33	0.10	0	0.01	5.35	3.03	0.34	5.31	0.21	0	0	0.09	5.01	0	0.03	0	0	0	0.03	0.03	0.04	0	0	0	0	157.86
rg491	0.08	4.64	1.01	0.42	1.39	0.88	2.57	1.46	4.28	2.04	0	0	0	0	1.35	0.83	1.06	1.46	1.13	0.01	0	1.77	1.00	0.42	0.04	0.01	0	0	1.56	0.70	0.08	1.04	0.01	0	0	0.04	1.51	0	0	0	0	0	0	0	0	0	0	0	0	32.79
rp491	7.97	15.58	7.94	5.78	9.50	9.14	7.52	5.76	15.41	12.68	0	0.06	0	0	1.86	3.15	2.60	3.52	2.92	0.94	0	4.41	3.79	2.43	4.52	2.65	0	1.31	1.43	5.99	6.80	4.45	2.09	1.53	0	1.05	3.45	0	2.12	2.05	1.17	0.92	2.06	1.82	3.12	2.29	1.47	0.93	0	176.18
bt492	11.73	39.68	0	0	0	0	0	0	25.42	4.65	0	0.59	0	0	4.18	1.93	0.09	0.65	0.03	0.02	0	0.03	0	0	0.02	0	0	0	0	0.02	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.02	0	0.01	0	0	0	89.08
rt492	0	15.86	0	0	0	0	0	0	11.36	3.64	0	0.05	0	0	0.44	0.53	0.06	0.02	0.04	0.01	0	0	0.07	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0	32.12
bg492	16.36	5.43	0	0	0	0	0	0	8.03	5.98	0	0.01	0	0	8.00	5.34	5.29	6.12	4.69	0	0	5.73	5.38	2.15	0.16	0.03	0	0	5.19	3.13	0.24	5.09	0.16	0.01	0	0.04	4.96	0	0	0	0	0	0	0	0	0	0	0	0	97.52
rg492	0	1.99	0	0	0	0	0	0	1.82	1.38	0	0	0	0	1.88	0.98	1.29	1.82	1.37	0	0	1.97	1.55	0.59	0.06	0	0	0	1.85	0.80	0.09	1.33	0.06	0	0	0.05	1.83	0	0	0	0	0	0	0	0	0.02	0	0	0	22.73
cpr492	0	7.47	0	0	0	0	0	0	11.15	3.08	0	0.07	0	0	2.27	3.21	2.64	3.95	2.85	1.29	0	4.31	3.80	2.24	2.50	2.07	0	1.26	1.89	6.10	5.00	4.60	1.99	1.76	0	1.18	4.18	0	2.43	2.15	0.87	0.97	1.83	2.60	2.11	2.48	1.87	0.92	0	99.09
