NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	TOT
bt491	94.14	49.13	24.12	4.84	0	0.09	0.60	0.05	0.07	0.06	0.02	0.04	0.02	0.02	0	0.01	0	0.04	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	173.30
rt491	0.78	4.32	5.83	5.25	0	0.10	0.02	0.01	0.02	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.37
bg491	66.94	6.67	6.46	5.30	4.83	4.05	2.78	8.71	8.90	3.90	0.93	0	0	0	4.83	2.04	2.26	2.51	2.63	0	0	0.45	2.02	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136.42
rg491	1.93	1.57	2.11	1.34	0.76	0.93	0.85	2.02	1.63	0.93	1.15	0	0	0	0.75	0.23	0.59	0.74	0.75	0	0	0	0.55	0.29	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.13
rp491	13.38	14.85	15.86	10.91	10.81	7.79	5.41	6.70	9.61	5.77	5.04	10.30	8.05	2.58	5.73	1.04	2.06	2.41	3.28	2.71	2.63	0	1.57	2.10	5.08	4.03	2.07	1.63	0	0	3.92	0	2.10	1.08	0	0	0	0	0	0	1.06	0	0	0	0	0	0	0	0	171.56
bt492	93.54	48.40	24.23	2.85	0	0.06	0.07	0.04	0.07	0.05	0.03	0.03	0.02	0.04	0.01	0.01	0.02	0.02	0.04	0	0	0	0	0	0	0.02	0.01	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169.58
rt492	0.76	4.61	9.71	4.11	0	0.04	0.02	0	0.03	0.03	0.01	0	0.01	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.35
bg492	77.39	3.57	3.59	3.99	0	1.75	0.18	5.37	4.93	3.17	0.84	0.03	0	0	4.62	2.02	1.89	2.16	2.37	0	0	0.22	1.90	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120.07
rg492	0.75	0.86	1.12	1.00	0	0.66	0.07	1.02	0.41	0.80	0.69	0	0	0	0.66	0.16	0.38	0.89	0.78	0	0	0	0.60	0.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.95
cpr492	0.53	5.44	5.82	5.44	0	2.24	1.14	2.31	7.29	2.34	3.29	10.07	8.04	2.75	5.50	1.32	2.47	2.81	3.17	2.76	1.89	0	1.74	1.65	5.25	3.13	2.40	1.46	0	0	3.55	0	2.57	1.22	0	0	0	0	0	0	1.26	0	0	0	0	0	0	0	0	100.85
