NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	TOT
bt491	74.73	9.09	1.52	3.47	0.29	0.02	0.04	0.08	1.04	0.02	0	0	0	0	0	0.01	0.04	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	90.37
rt491	2.56	0.38	0.12	0.14	0.01	0	0.01	0.11	0.02	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.38
bg491	78.24	4.57	1.19	2.05	3.73	1.81	0.17	5.55	4.47	1.30	0.07	0	0	0	3.66	1.81	0.11	0.03	0.14	0	0	0	0.04	0.05	0.07	0	0	0	0	0.05	0.04	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	109.21
rg491	2.27	0.28	0.06	0.03	0.55	0.03	0.01	0.31	0.16	0.02	0.01	0	0	0	0.55	0.03	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.33
rp491	24.64	2.76	12.18	6.73	15.67	8.02	6.82	8.73	10.21	4.41	2.16	0	0	0	6.16	4.58	3.74	2.35	1.91	0	0	0	3.85	3.30	7.34	0.12	0	0	4.83	2.65	6.85	1.17	4.66	0	0	3.32	3.08	3.67	0	0	0	0	2.94	1.47	2.17	0	0	0	0	172.49
bt492	74.86	9.22	3.51	2.83	0.02	0	0	0.23	0.64	0.03	0	0	0	0	0.11	0.01	0.02	0.01	0.01	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	91.54
rt492	2.96	0.31	0.14	0.11	0	0	0	0.02	0.03	0.03	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.61
bg492	86.59	1.58	0.68	0.86	0	0	0	4.27	3.14	0.71	0.05	0	0	0	3.93	1.19	0.03	0.03	0.03	0	0	0	0.03	0	0	0	0	0	0.03	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.17
rg492	2.28	0.14	0.02	0.03	0	0	0	0.37	0.33	0.03	0.02	0	0	0	0.78	0.07	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.09
cpr492	17.28	1.70	1.06	1.80	0.01	0	0	2.02	3.33	1.34	1.80	0	0	0	6.30	3.38	3.86	1.91	2.25	0	0	0	3.01	2.93	5.62	0.11	0	0	4.51	4.24	7.20	1.31	3.69	0	0	3.57	2.96	4.08	0	0	0	0	2.56	1.79	3.04	0	0	0	0	98.66
