NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	136.05	24.18	0.03	0.63	0.12	0.01	0.07	0.07	0.07	0.02	0.03	0.02	0.03	0.01	0.02	0.01	0.01	0.01	0.01	0	0	0	0.01	0.02	0	161.39
rt251	11.24	10.79	0	0.41	0.02	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.48
bg251	91.23	6.76	0.04	0.04	0.33	3.16	3.86	0.36	0.05	0	0.71	0.39	0.04	0.04	0	0.33	0.03	0.13	0.05	0	0	0	0	0	0	107.55
rg251	9.07	6.80	0.01	0.02	0.01	0.41	0.80	0.04	0.03	0.01	0.02	0	0.01	0	0	0.02	0.02	0	0.01	0	0	0	0	0	0	17.28
rp251	34.23	28.11	0.98	1.40	0.89	14.70	26.60	3.23	1.59	0.75	2.67	1.14	0.96	0.04	0.01	1.18	1.33	0.89	0.75	0	0	0	0.02	0.02	0	121.49
bg252	94.39	5.72	0	0	0	2.92	2.65	0.13	0	0	0.19	0.08	0	0	0	0.56	0	0	0	0	0	0	0	0	0	106.64
bg253	94.88	4.59	0	0	0	2.03	2.50	0.12	0	0	0.20	0.07	0.07	0.03	0.03	0.29	0	0	0	0	0	0	0.03	0.03	0	104.87
bt253	137.89	16.84	0	0.11	0.04	0.03	0.02	0.02	0	0.04	0	0.01	0	0.01	0	0	0.01	0.01	0	0	0	0	0	0	0	155.03
rt253	11.17	18.88	0	0.15	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.22
rg253	9.01	7.31	0	0	0	0.30	0.56	0.05	0	0	0.05	0.02	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0	17.33
cpr253	25.90	2.08	0	4.01	2.31	0.65	2.43	2.89	6.96	3.30	1.53	1.82	3.21	10.73	9.23	1.48	1.43	2.17	2.73	0	0	0	2.54	4.12	0	91.52
