NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	0.03	42.10	41.38	5.13	0.38	0.14	0.01	0.03	0.03	0.24	0.02	0.01	0.01	0	0	0	0	0	0.01	0	0.01	0.04	0	0.01	0.01	89.57
rt251	0.01	35.02	37.11	6.78	0.02	0.02	0.01	0.04	0.30	0.19	0	0.01	0	0	0.01	0	0	0.02	0.23	0.01	0.01	0	0	0	0	79.76
bg251	13.60	16.34	15.44	7.44	8.02	5.37	4.41	6.91	7.57	4.42	8.93	7.69	6.13	0	0	0.67	0.81	5.73	7.11	0.11	4.67	6.64	0	0	0	138.01
rg251	9.43	13.63	11.88	5.73	6.73	3.36	6.38	6.63	6.36	4.15	6.20	4.86	4.90	0	0	0.44	1.42	4.95	5.77	0.09	3.23	5.42	0	0	0	111.56
rp251	6.28	24.46	9.02	2.54	2.28	17.70	23.04	7.15	3.83	2.02	4.40	3.03	3.21	0	0.03	2.70	3.69	2.38	2.04	0.04	1.88	1.91	0.01	0	0	123.64
bg252	12.61	17.57	15.13	7.04	7.96	5.58	6.31	6.88	7.51	3.46	8.06	7.67	6.50	0	0	1.81	1.96	5.64	6.78	0.12	4.55	6.61	0	0	0	139.75
bg253	0	3.00	8.27	7.16	7.84	3.35	3.35	1.29	0.60	4.06	8.31	7.39	6.57	0	0	2.06	1.51	6.33	7.40	0.12	4.48	6.62	0	0	0	89.71
bt253	0	44.52	38.61	5.51	0.29	0.01	0	0.01	0	0.01	0	0.01	0	0	0	0	0	0	0.03	0	0.03	0	0	0	0	89.03
rt253	0	32.76	39.98	5.52	0.90	0	0	0.33	0.05	0.03	0	0	0	0	0	0	0	0.04	0.21	0	0	0	0	0	0	79.82
rg253	0	3.92	6.72	5.39	6.01	3.48	4.75	2.08	0.60	3.13	6.72	5.44	5.12	0	0	1.08	1.27	4.59	5.39	0.04	3.40	4.89	0	0	0	74.02
cpr253	0	10.79	6.77	5.78	4.15	5.96	15.93	5.23	4.10	5.40	4.73	4.22	6.84	0	3.87	2.10	5.84	5.23	5.55	2.22	2.42	3.15	1.51	1.51	1.39	114.69
