NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	77.07	10.17	1.16	0.76	0.01	0.01	0.03	0.03	0.02	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0	89.35
rt251	11.32	1.16	0.47	0.07	0	0.55	0.01	0.04	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0	13.63
bg251	93.50	4.03	0.50	0.52	0	3.93	3.15	0.26	0.05	0.10	0	0.05	0	0	0	0.39	0.05	0	0	0.05	0.97	0	0	0	0	107.55
rg251	10.10	0.98	0.33	0.01	0	4.79	2.01	0.11	0.02	0	0	0	0	0	0	0.08	0.01	0	0.02	0	0.13	0	0.01	0	0	18.60
rp251	29.63	25.20	4.72	0.98	0.02	22.55	26.74	2.97	1.42	0.56	0	1.28	1.23	0.01	0.02	1.39	2.01	1.00	0.85	0.06	0.86	0.33	0.01	0.07	0	123.91
bg252	91.99	4.05	0.58	0.48	0	3.96	3.05	0.15	0	0	0	0	0	0	0	0.64	0	0	0	0	0.10	0	0	0	0	105.00
bg253	94.92	5.30	0.29	0.19	0	3.23	2.06	0.13	0	0	0	0	0	0	0	0.07	0	0	0	0	0.28	0	0	0	0	106.47
bt253	78.63	9.19	0.70	0.41	0	0.02	0.01	0.01	0.01	0.02	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	89.02
rt253	10.74	2.04	0.38	0.31	0	0.02	0	0.03	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	13.53
rg253	9.29	1.28	0.29	0.01	0	4.91	1.98	0.04	0	0	0	0	0	0	0	0.04	0	0	0	0	0.04	0	0	0	0	17.88
cpr253	24.58	2.20	1.88	1.82	0	1.61	2.24	1.08	1.72	0.98	0	2.98	4.08	6.77	4.81	4.73	2.31	1.24	2.60	3.67	2.84	2.55	5.14	3.13	0	84.96
