NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	66.48	12.38	8.36	1.88	0.68	0.15	0.01	0.03	0.03	0	0.01	0	0.01	0.27	0	0.01	0.01	0.01	0	0	0	0	0.01	0.01	0.01	90.32
rt251	2.83	0.30	1.02	0.81	0.04	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.01	5.03
bg251	86.88	3.73	2.26	0.45	0.54	5.27	6.34	1.68	0.23	0	1.30	0	0.45	0.04	0	0.80	1.09	0.24	0.16	0	0	0	0	0	0	111.46
rg251	2.53	0.14	0.24	0.13	0.08	0.32	0.22	0.14	0.02	0	0.03	0	0.01	0.01	0	0	0.02	0.01	0.01	0	0	0	0	0	0	3.91
rp251	14.51	19.55	7.65	2.79	2.06	16.98	24.94	6.24	3.15	0.16	3.52	0	2.48	0.51	0.51	1.32	2.38	1.66	1.38	0.16	0	0	0.07	0.05	0.02	112.09
bg252	85.31	2.98	3.79	1.08	0.19	4.91	6.47	1.44	0.39	0	1.00	0	0.49	0.11	0.04	0.77	1.17	0.11	0.16	0	0	0	0.04	0	0	110.45
bg253	88.68	4.08	1.60	0.66	0.19	3.44	3.53	1.24	0.11	0	0.77	0	0.53	0.08	0.05	0.59	0.91	0.21	0.11	0	0	0	0.03	0	0	106.81
bt253	69.71	10.59	6.81	1.86	0.58	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	89.57
rt253	2.62	0.44	1.05	1.28	1.59	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.99
rg253	3.18	0.28	0.29	0.08	0.06	0.24	0.29	0.09	0.03	0	0.13	0	0.06	0	0	0	0.06	0.03	0.01	0	0	0	0	0	0	4.83
cpr253	11.51	1.71	2.76	2.91	2.66	1.46	3.15	3.31	2.97	0	1.73	0	3.33	17.34	19.38	0.77	1.50	1.28	2.03	6.48	0	0	4.00	4.12	3.68	98.08
