NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	99.41	19.09	12.50	0.04	0.39	0.01	0.04	0.04	0.04	0.02	0.02	0.02	0.01	0.02	0.01	0	0.01	0	0	0	0	0	0	0.01	0	131.68
rt251	3.35	1.38	4.86	0	0.33	0	0.01	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.94
bg251	87.53	6.00	1.54	0.05	0.34	3.53	5.92	1.15	0.05	0	1.11	0.76	0.15	0.05	0	0.46	0.83	0	0.05	0	0	0	0	0	0	109.52
rg251	2.70	0.49	0.61	0	0	0.22	0.58	0.11	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	4.74
rp251	18.67	26.82	5.99	0.31	1.20	13.90	25.22	4.54	2.44	1.33	3.35	2.21	1.33	0.29	0.09	1.46	2.32	0.34	0.96	0.05	0	0	0	0.02	0	112.84
bg252	86.08	6.01	2.55	0.10	0.11	3.29	5.39	1.13	0.14	0.06	0.78	1.17	0.43	0.10	0.06	0.61	0.87	0	0.04	0	0	0	0	0	0	108.92
bg253	89.12	5.99	1.76	0	0.01	2.40	3.52	0.80	0.03	0.01	0.44	0.52	0.31	0.08	0.04	0.40	0.67	0	0	0	0	0	0	0	0	106.10
bt253	103.04	15.72	8.99	0	0.04	0.02	0.02	0.01	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127.86
rt253	3.12	2.18	7.88	0	0.09	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.29
rg253	2.53	0.87	0.67	0	0	0.10	0.48	0.06	0	0	0.04	0.02	0.01	0	0	0	0.03	0	0	0	0	0	0	0	0	4.81
cpr253	13.46	2.27	4.00	0	3.15	0.79	3.75	3.44	4.98	3.33	1.75	1.89	2.13	20.80	11.37	2.05	1.44	0.13	2.85	6.06	0	0	0	5.34	0	94.98
