gain	0	1	-52,11
gain	1	0	-52,20
gain	0	2	-59,98
gain	2	0	-58,18
gain	0	3	-58,15
gain	3	0	-56,95
gain	0	4	-56,41
gain	4	0	-54,64
gain	0	5	-68,05
gain	5	0	-62,13
gain	0	6	-69,88
gain	6	0	-61,89
gain	0	7	-58,49
gain	7	0	-55,32
gain	0	8	-70,60
gain	8	0	-73,49
gain	1	2	-57,19
gain	2	1	-55,30
gain	1	3	-58,02
gain	3	1	-56,74
gain	1	4	-56,50
gain	4	1	-54,64
gain	1	5	-67,57
gain	5	1	-61,57
gain	1	6	-73,31
gain	6	1	-65,24
gain	1	7	-65,31
gain	7	1	-62,05
gain	1	8	-67,81
gain	8	1	-70,61
gain	2	3	-62,89
gain	3	2	-63,49
gain	2	4	-56,57
gain	4	2	-56,59
gain	2	5	-58,75
gain	5	2	-54,63
gain	2	6	-73,43
gain	6	2	-67,25
gain	2	7	-61,33
gain	7	2	-59,96
gain	2	8	-63,13
gain	8	2	-67,81
gain	3	4	-54,16
gain	4	3	-53,59
gain	3	5	-64,10
gain	5	3	-59,38
gain	3	6	-53,96
gain	6	3	-47,17
gain	3	7	-56,70
gain	7	3	-54,73
gain	3	8	-64,88
gain	8	3	-68,96
gain	4	5	-49,83
gain	5	4	-45,69
gain	4	6	-60,62
gain	6	4	-54,40
gain	4	7	-60,73
gain	7	4	-59,34
gain	4	8	-59,78
gain	8	4	-64,44
gain	5	6	-56,04
gain	6	5	-53,97
gain	5	7	-52,91
gain	7	5	-55,66
gain	5	8	-44,29
gain	8	5	-53,10
gain	6	7	-49,28
gain	7	6	-54,10
gain	6	8	-61,57
gain	8	6	-72,44
gain	7	8	-54,10
gain	8	7	-60,15
